"Year","Total Product","Total Export","Total Sale (InsideCountry)"
"2000","411721","152836","262189"
"2001","459418","175299","297052"
"2002","584951","181471","409362"
"2003","750512","235022","533176"
"2004","928081","332053","625345"
"2005","1125316","440751","703432"
"2006","1188044","538966","682161"
"2007","1287346","690100","631251"
"2008","1394029","776152","615097"
"2009","999378","535563","548871"
"2010","1645304","895855","800357"
"2011","1457795","735627","795250"
"2012","2453717","1026671","1436335"
"2013","2457057","1128152","1330672"
"2014","1880007","1128102","881832"
"2015","1913002","1204895","799632"
"2016","1944417","1188515","768788"
"2017","1988823","1139696","871650"
"2018","2167694","1140640","1041739"
"2019","2013710","1054103","1007552"
"2020","1426970","735842","792146"
