province_of_onset,number_xEV
อำนาจเจริญ,33
อ่างทอง,34
กรุงเทพมหานคร,34526
บึงกาฬ,26
บุรีรัมย์,147
ฉะเชิงเทรา,182
ชัยนาท,35
ชัยภูมิ,97
จันทบุรี,225
เชียงใหม่,1228
เชียงราย,335
ชลบุรี,1051
ชุมพร,125
กาฬสินธุ์,75
กำแพงเพชร,105
กาญจนบุรี,176
ขอนแก่น,751
กระบี่,130
ลำปาง,196
ลำพูน,67
เลย,70
ลพบุรี,126
แม่ฮ่องสอน,5
มหาสารคาม,86
มุกดาหาร,81
นครนายก,35
นครปฐม,142
นครพนม,137
นครราชสีมา,616
นครสวรรค์,202
นครศรีธรรมราช,269
น่าน,73
นราธิวาส,69
หนองบัวลำภู,43
หนองคาย,70
นนทบุรี,262
ปทุมธานี,80
ปัตตานี,67
พังงา,34
พัทลุง,74
พะเยา,555
เพชรบูรณ์,97
เพชรบุรี,152
พิจิตร,56
พิษณุโลก,373
พระนครศรีอยุธยา,360
แพร่,139
ภูเก็ต,458
ปราจีนบุรี,112
ประจวบคีรีขันธ์,144
ระนอง,47
ราชบุรี,182
ระยอง,522
ร้อยเอ็ด,148
สระแก้ว,59
สกลนคร,98
สมุทรปราการ,28
สมุทรสาคร,29
สมุทรสงคราม,20
สระบุรี,171
สตูล,24
ศรีสะเกษ,74
สิงห์บุรี,88
สงขลา,604
สุโขทัย,99
สุพรรณบุรี,124
สุราษฎร์ธานี,314
สุรินทร์,119
ตาก,70
ตรัง,148
ตราด,42
อุบลราชธานี,324
อุดรธานี,385
อุทัยธานี,71
อุตรดิตถ์,67
ยะลา,47
ยโสธร,46
