Continent,Provide,PTT,Shell,Esso,Chevron,Bangchak,Thai Oil,RPCG,Susco,Susco Dealer,PTG,IRPC,PTT Oil and Retail Business,PC,Saengthong,Picnic,WP energy,Unique Gas,Saim Gas,PAP,NS Gas,Takuni,Orchid Gas LPG Station,Thai Gas,Other
MD,BKK, 155 , 110 , 110 , 53 , 109 ,0, 4 , 25 , 24 , 23 ,0, 21 ,0, 13 , 34 , 26 , 2 , 79 , 6 , 14 , 14 , 5 , 5 , 110 
MD,NBI, 30 , 13 , 20 , 11 , 16 ,0,0, 1 , 4 , 10 ,0, 12 ,0, 2 , 16 , 6 , 5 , 22 ,0,0, 1 ,0,0, 55 
MD,SPK, 22 , 20 , 20 , 15 , 25 ,0, 2 , 2 , 9 , 5 ,0, 8 ,0,0, 6 , 7 ,0, 8 , 1 , 1 , 2 ,0, 1 , 44 
MD,PTE, 31 , 11 , 30 , 9 , 21 ,0, 1 , 6 ,0, 12 ,0, 12 ,0,0, 21 , 7 , 1 , 16 ,0,0, 1 ,0, 2 , 91 
MD,AYA, 24 , 9 , 11 , 13 , 21 ,0, 1 , 2 , 5 , 14 , 1 , 8 ,0, 1 , 1 , 17 , 1 , 3 , 5 ,0,0,0,0, 209 
MD,ATG, 5 , 1 , 1 , 2 , 11 ,0, 1 , 1 ,0, 6 ,0,0,0,0,0, 1 , 1 , 2 , 1 ,0,0,0,0, 84 
MD,SBR, 10 , 2 , 3 , 2 , 7 ,0, 2 ,0,0, 4 ,0, 1 ,0,0,0, 2 ,0, 1 ,0,0,0,0,0, 67 
MD,SRI, 27 , 3 , 8 , 5 , 24 ,0, 4 , 2 , 2 , 10 ,0, 5 ,0,0,0, 1 ,0, 3 , 4 ,0,0,0,0, 187 
MD,LRI, 19 , 5 , 2 , 4 , 10 ,0, 3 ,0,0, 8 ,0, 4 ,0,0,0, 1 , 2 , 9 , 2 ,0,0,0,0, 210 
MD,CNT, 10 , 4 , 4 ,0, 13 ,0,0,0,0, 6 ,0,0,0,0, 1 ,0,0, 3 ,0,0,0,0,0, 170 
N,PRE, 8 , 5 , 5 , 2 , 9 ,0,0, 3 ,0, 14 ,0,0,0,0,0,0, 2 , 1 ,0,0,0, 2 ,0, 161 
N,LPG, 20 , 7 , 8 , 2 , 14 ,0,0, 3 ,0, 13 ,0,0,0,0,0, 4 , 3 , 1 ,0,0,0, 1 ,0, 254 
N,LPN, 4 , 3 , 4 ,0, 6 ,0,0, 2 , 1 , 12 ,0, 1 ,0,0,0,0, 1 ,0,0,0,0, 1 ,0, 289 
N,PYO, 11 , 1 , 2 , 1 , 6 ,0, 1 , 2 ,0, 14 ,0,0,0,0,0, 1 , 2 , 1 ,0,0,0,0,0, 145 
N,CRI, 23 , 3 , 13 , 6 , 16 ,0, 3 , 3 ,0, 21 ,0,0,0,0,0, 2 , 5 , 2 ,0,0,0,0,0, 358 
